Brand,Model,Variant,Year,Category,Fuel,Transmission,Seats,PricePerDay,SecurityDeposit,City,TrustScore,ImageVerification
"Mahindra","TUV300","AX5",2017,"suv","cng","manual",7,2300,6000,"Mumbai",87,"fallback"
"Skoda","Rapid","Style",2018,"sedan","petrol","manual",5,1600,4000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","Alto","Z",2005,"hatchback","diesel","manual",5,1300,3000,"Bengaluru",87,"fallback"
"Hyundai","Grand i10","Magna",2013,"hatchback","diesel","manual",5,1150,3000,"Hyderabad",87,"fallback"
"Mahindra","XUV500","W8",2011,"suv","petrol","manual",7,2300,6000,"Chennai",87,"fallback"
"Maruti Suzuki","Dzire","Base",2019,"sedan","diesel","manual",5,1600,4000,"Pune",87,"fallback"
"MG","Hector","Smart",2023,"suv","cng","manual",7,2900,6000,"Kolkata",87,"verified"
"Maruti Suzuki","Baleno","L",2017,"hatchback","diesel","manual",5,1300,3000,"Ahmedabad",87,"verified"
"Maruti Suzuki","Ignis","L",2022,"hatchback","electric","manual",5,2450,3000,"Jaipur",87,"fallback"
"Maruti Suzuki","Swift","V",2018,"sedan","petrol","automatic",5,1600,4000,"Goa",87,"verified"
"Maruti Suzuki","Ertiga","Z",2023,"mpv","diesel","manual",7,3250,5000,"Chandigarh",87,"verified"
"Maruti Suzuki","Alto","V",2022,"hatchback","petrol","automatic",5,1850,3000,"Mumbai",87,"fallback"
"Audi","A6","Technology",2023,"luxury","petrol","manual",5,5600,15000,"Delhi NCR",87,"verified"
"Toyota","Urban Cruiser","E",2021,"suv","cng","manual",7,2400,6000,"Bengaluru",87,"fallback"
"Honda","City","V",2019,"sedan","petrol","manual",5,2000,4000,"Hyderabad",87,"verified"
"Hyundai","Verna","Base",2018,"sedan","diesel","automatic",5,2200,4000,"Chennai",87,"verified"
"Maruti Suzuki","Celerio","Base",2023,"hatchback","petrol","manual",5,2350,3000,"Pune",87,"fallback"
"Honda","Jazz","V",2017,"sedan","diesel","manual",5,1600,4000,"Kolkata",87,"fallback"
"Honda","Brio","E",2018,"hatchback","petrol","manual",5,1450,3000,"Ahmedabad",87,"fallback"
"Tata","Harrier","XZA+",2023,"suv","petrol","automatic",7,2700,6000,"Jaipur",87,"verified"
"Hyundai","Venue","Magna",2022,"suv","diesel","manual",7,2300,6000,"Goa",87,"fallback"
"Ford","Aspire","Trend+",2015,"sedan","petrol","manual",5,1600,4000,"Chandigarh",87,"fallback"
"Maruti Suzuki","Celerio","L",2020,"hatchback","petrol","automatic",5,1700,3000,"Mumbai",87,"fallback"
"Toyota","Urban Cruiser","G",2022,"suv","petrol","manual",7,3250,6000,"Delhi NCR",87,"fallback"
"Mahindra","XUV500","AX3",2018,"suv","hybrid","automatic",7,2650,6000,"Bengaluru",87,"fallback"
"Maruti Suzuki","Dzire","Z",2020,"sedan","diesel","manual",5,2250,4000,"Hyderabad",87,"fallback"
"Chevrolet","Tavera","LTZ",2009,"mpv","petrol","manual",7,2100,5000,"Chennai",87,"fallback"
"Toyota","Innova","VX",2015,"mpv","diesel","automatic",7,2100,5000,"Pune",81,"verified"
"Tata","Altroz","XT",2020,"hatchback","petrol","manual",5,1450,3000,"Kolkata",87,"fallback"
"Maruti Suzuki","WagonR","L",2022,"hatchback","cng","manual",5,2550,3000,"Ahmedabad",87,"fallback"
"Hyundai","Aura","Magna",2022,"sedan","petrol","manual",5,2350,4000,"Jaipur",87,"fallback"
"Maruti Suzuki","WagonR","Base",2015,"hatchback","petrol","manual",5,1100,3000,"Goa",87,"fallback"
"Hyundai","Verna","SX",2011,"sedan","petrol","manual",5,1600,4000,"Chandigarh",87,"verified"
"Hyundai","Creta","Magna",2015,"suv","petrol","automatic",7,2300,6000,"Mumbai",87,"verified"
"Maruti Suzuki","Baleno","L",2018,"hatchback","cng","manual",5,1550,3000,"Delhi NCR",87,"verified"
"Ford","Figo","Trend",2015,"sedan","diesel","manual",5,1600,4000,"Bengaluru",87,"fallback"
"BMW","5 Series","Sport",2020,"luxury","petrol","manual",5,7600,15000,"Hyderabad",87,"fallback"
"Maruti Suzuki","Dzire","L",2016,"sedan","diesel","automatic",5,1750,4000,"Chennai",87,"fallback"
"Maruti Suzuki","Baleno","ZX",2022,"hatchback","petrol","manual",5,3050,3000,"Pune",87,"verified"
"Maruti Suzuki","Alto","L",2005,"hatchback","petrol","manual",5,1100,3000,"Kolkata",87,"fallback"
"Tata","Altroz","XE",2023,"hatchback","petrol","manual",5,1100,3000,"Ahmedabad",87,"fallback"
"Volkswagen","Ameo","Trendline",2020,"sedan","diesel","manual",5,2200,4000,"Jaipur",87,"fallback"
"Jaguar","XE","Prestige",2021,"luxury","petrol","manual",5,6450,15000,"Goa",87,"fallback"
"Tata","Nexon","XE",2017,"suv","petrol","automatic",7,2300,6000,"Chandigarh",87,"verified"
"Toyota","Urban Cruiser","G+",2021,"suv","diesel","manual",7,2450,6000,"Mumbai",81,"fallback"
"Honda","Brio","VX",2019,"hatchback","hybrid","manual",5,1750,3000,"Delhi NCR",87,"fallback"
"Hyundai","Creta","Asta",2020,"suv","electric","automatic",7,4200,6000,"Bengaluru",87,"verified"
"Mahindra","TUV300","AX5",2020,"suv","diesel","manual",7,2450,6000,"Hyderabad",87,"fallback"
"Honda","City","VX",2022,"sedan","petrol","manual",5,1600,4000,"Chennai",87,"verified"
"Maruti Suzuki","Celerio","ZX",2023,"hatchback","diesel","manual",5,1850,3000,"Pune",87,"fallback"
"Volkswagen","Vento","GT",2022,"sedan","hybrid","manual",5,2350,4000,"Kolkata",87,"fallback"
"Renault","Kwid","RXE",2017,"hatchback","petrol","manual",5,1450,3000,"Ahmedabad",87,"fallback"
