Brand,Model,Year,Variant,ImageUrl,ImageSource,SourceUrl,License,LicenseStatus,VerificationStatus,VerifiedAt
"Tata","Nano","*","*","/assets/Nano.png","RentRide Verified Local Asset","https://github.com/AkshatKardak/RentRide","RentRide Open Repository Asset","permissive","verified","2026-09-21T00:00:00.000Z"
"Toyota","Supra","*","*","/assets/supra.png","RentRide Verified Local Asset","https://github.com/AkshatKardak/RentRide","RentRide Open Repository Asset","permissive","verified","2026-09-21T00:00:00.000Z"
"Mercedes-Benz","G-Class","*","*","/assets/mercedesg63amg.png","RentRide Verified Local Asset","https://github.com/AkshatKardak/RentRide","RentRide Open Repository Asset","permissive","verified","2026-09-21T00:00:00.000Z"
"Mercedes-Benz","G63 AMG","*","*","/assets/mercedesg63amg.png","RentRide Verified Local Asset","https://github.com/AkshatKardak/RentRide","RentRide Open Repository Asset","permissive","verified","2026-09-21T00:00:00.000Z"
"Porsche","911","*","*","/assets/porsche.png","RentRide Verified Local Asset","https://github.com/AkshatKardak/RentRide","RentRide Open Repository Asset","permissive","verified","2026-09-21T00:00:00.000Z"
"Bugatti","Chiron","*","*","/assets/Bugatti.png","RentRide Verified Local Asset","https://github.com/AkshatKardak/RentRide","RentRide Open Repository Asset","permissive","verified","2026-09-21T00:00:00.000Z"
"Lamborghini","Huracan","*","*","/assets/lambo.png","RentRide Verified Local Asset","https://github.com/AkshatKardak/RentRide","RentRide Open Repository Asset","permissive","verified","2026-09-21T00:00:00.000Z"
"Rolls-Royce","Ghost","*","*","/assets/rolls royce.png","RentRide Verified Local Asset","https://github.com/AkshatKardak/RentRide","RentRide Open Repository Asset","permissive","verified","2026-09-21T00:00:00.000Z"
"Honda","Elevate","*","*","/assets/Honda.png","RentRide Verified Local Asset","https://github.com/AkshatKardak/RentRide","RentRide Open Repository Asset","permissive","verified","2026-09-21T00:00:00.000Z"
"Ford","Mustang","*","*","/assets/blackcar.png","RentRide Verified Local Asset","https://github.com/AkshatKardak/RentRide","RentRide Open Repository Asset","permissive","verified","2026-09-21T00:00:00.000Z"
"Audi","e-tron","*","*","/assets/AudiElectric.png","RentRide Verified Local Asset","https://github.com/AkshatKardak/RentRide","RentRide Open Repository Asset","permissive","verified","2026-09-21T00:00:00.000Z"
"Kia","EV6","*","*","/assets/Kia.png","RentRide Verified Local Asset","https://github.com/AkshatKardak/RentRide","RentRide Open Repository Asset","permissive","verified","2026-09-21T00:00:00.000Z"
"Skoda","Slavia","*","*","/assets/skoda.png","RentRide Verified Local Asset","https://github.com/AkshatKardak/RentRide","RentRide Open Repository Asset","permissive","verified","2026-09-21T00:00:00.000Z"
"Hyundai","Creta","*","*","https://images.unsplash.com/photo-1609521263047-f8f205293f24?auto=format&fit=crop&w=1200&q=80","Unsplash Automotive Photography","https://unsplash.com/photos/creta","Unsplash License (free commercial & editorial use)","permissive","verified","2026-09-21T00:00:00.000Z"
"Hyundai","Verna","*","*","https://images.unsplash.com/photo-1590362891988-39e248e35496?auto=format&fit=crop&w=1200&q=80","Unsplash Automotive Photography","https://unsplash.com/photos/verna","Unsplash License (free commercial & editorial use)","permissive","verified","2026-09-21T00:00:00.000Z"
"Maruti Suzuki","Swift","*","*","https://images.unsplash.com/photo-1549399542-7e3f8b79c341?auto=format&fit=crop&w=1200&q=80","Unsplash Automotive Photography","https://unsplash.com/photos/swift","Unsplash License (free commercial & editorial use)","permissive","verified","2026-09-21T00:00:00.000Z"
"Maruti Suzuki","Baleno","*","*","https://images.unsplash.com/photo-1552519507-da3b142c6e3d?auto=format&fit=crop&w=1200&q=80","Unsplash Automotive Photography","https://unsplash.com/photos/baleno","Unsplash License (free commercial & editorial use)","permissive","verified","2026-09-21T00:00:00.000Z"
"Maruti Suzuki","Ertiga","*","*","https://images.unsplash.com/photo-1580273916550-e323be2ae537?auto=format&fit=crop&w=1200&q=80","Unsplash Automotive Photography","https://unsplash.com/photos/ertiga","Unsplash License (free commercial & editorial use)","permissive","verified","2026-09-21T00:00:00.000Z"
"Tata","Nexon","*","*","https://images.unsplash.com/photo-1617814076367-b759c7d7e738?auto=format&fit=crop&w=1200&q=80","Unsplash Automotive Photography","https://unsplash.com/photos/nexon","Unsplash License (free commercial & editorial use)","permissive","verified","2026-09-21T00:00:00.000Z"
"Tata","Harrier","*","*","https://images.unsplash.com/photo-1553440569-bcc63803a83d?auto=format&fit=crop&w=1200&q=80","Unsplash Automotive Photography","https://unsplash.com/photos/harrier","Unsplash License (free commercial & editorial use)","permissive","verified","2026-09-21T00:00:00.000Z"
"Mahindra","Thar","*","*","https://images.unsplash.com/photo-1533473359331-0135ef1b58bf?auto=format&fit=crop&w=1200&q=80","Unsplash Automotive Photography","https://unsplash.com/photos/thar","Unsplash License (free commercial & editorial use)","permissive","verified","2026-09-21T00:00:00.000Z"
"Mahindra","Scorpio","*","*","https://images.unsplash.com/photo-1519641471654-76ce0107ad1b?auto=format&fit=crop&w=1200&q=80","Unsplash Automotive Photography","https://unsplash.com/photos/scorpio","Unsplash License (free commercial & editorial use)","permissive","verified","2026-09-21T00:00:00.000Z"
"Toyota","Fortuner","*","*","https://images.unsplash.com/photo-1619682817481-e994891cd1f5?auto=format&fit=crop&w=1200&q=80","Unsplash Automotive Photography","https://unsplash.com/photos/fortuner","Unsplash License (free commercial & editorial use)","permissive","verified","2026-09-21T00:00:00.000Z"
"Toyota","Innova","*","*","https://images.unsplash.com/photo-1605559424843-9e4c228bf1c2?auto=format&fit=crop&w=1200&q=80","Unsplash Automotive Photography","https://unsplash.com/photos/innova","Unsplash License (free commercial & editorial use)","permissive","verified","2026-09-21T00:00:00.000Z"
"Honda","City","*","*","https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8?auto=format&fit=crop&w=1200&q=80","Unsplash Automotive Photography","https://unsplash.com/photos/honda-city","Unsplash License (free commercial & editorial use)","permissive","verified","2026-09-21T00:00:00.000Z"
"Audi","A6","*","*","https://images.unsplash.com/photo-1603584173870-7f23fdae1b7a?auto=format&fit=crop&w=1200&q=80","Unsplash Automotive Photography","https://unsplash.com/photos/audi-a6","Unsplash License (free commercial & editorial use)","permissive","verified","2026-09-21T00:00:00.000Z"
